,name,key,typee
166,Dennis Goeckel,journals/jsac/DingLGT12,Article
167,Don Towsley,journals/jsac/DingLGT12,Article
168,Lawrence Bernstein,journals/jsac/BernsteinY88,Article
169,Christine M. Yuhas,journals/jsac/BernsteinY88,Article
170,Jens Rosebrock,journals/jsac/RosebrockB92,Article
171,Philipp W. Besslich,journals/jsac/RosebrockB92,Article
172,Thomas Wiegand,journals/jsac/WiegandFSG00,Article
173,Niko Frber,journals/jsac/WiegandFSG00,Article
174,Klaus Stuhlmuller,journals/jsac/WiegandFSG00,Article
175,Bernd Girod,journals/jsac/WiegandFSG00,Article
176,William L. Hoberecht,journals/jsac/Hoberecht83,Article
177,June Moon,journals/jsac/MoonKL06,Article
178,Jae-Yun Ko,journals/jsac/MoonKL06,Article
179,Yong-Hwan Lee,journals/jsac/MoonKL06,Article
180,Jonathan P. Castro,journals/jsac/Castro92,Article
181,Wael A. Al-Qaq,journals/jsac/Al-QaqT97,Article
182,J. Keith Townsend,journals/jsac/Al-QaqT97,Article
183,Ekram Hossain,journals/jsac/HossainB01,Article
184,Vijay K. Bhargava,journals/jsac/HossainB01,Article
185,Gesualdo Scutari,journals/jsac/ScutariPB08,Article
186,Daniel Prez Palomar,journals/jsac/ScutariPB08,Article
187,Sergio Barbarossa,journals/jsac/ScutariPB08,Article
188,Ornan Ori Gerstel,journals/jsac/GerstelRS98,Article
189,Rajiv Ramaswami,journals/jsac/GerstelRS98,Article
190,Galen H. Sasaki,journals/jsac/GerstelRS98,Article
191,Fatemeh Fazel,journals/jsac/FazelFS11,Article
192,Maryam Fazel,journals/jsac/FazelFS11,Article
193,Milica Stojanovic,journals/jsac/FazelFS11,Article
194,Kevin W. Lu,journals/jsac/LuEL90,Article
195,Martin I. Eiger,journals/jsac/LuEL90,Article
196,Howard L. Lemberg,journals/jsac/LuEL90,Article
197,Chao Zhang,journals/jsac/Zhang11,Article
198,Young Yong Kim,journals/jsac/KimL99,Article
199,San-qi Li,journals/jsac/KimL99,Article
200,Ilan Crohn,journals/jsac/CrohnSGB93,Article
201,Gerhard Schultes,journals/jsac/CrohnSGB93,Article
202,Rainer Gahleitner,journals/jsac/CrohnSGB93,Article
203,Ernst Bonek,journals/jsac/CrohnSGB93,Article
204,Chengnian Long,journals/jsac/LongLZZYG08,Article
205,Bo Li 0001,journals/jsac/LongLZZYG08,Article
206,Qian Zhang,journals/jsac/LongLZZYG08,Article
207,Bin Zhao,journals/jsac/LongLZZYG08,Article
208,Bo Yang 0006,journals/jsac/LongLZZYG08,Article
209,Xinping Guan,journals/jsac/LongLZZYG08,Article
210,Kaiming Shen,journals/jsac/ShenY14,Article
211,Wei Yu,journals/jsac/ShenY14,Article
212,Peng-Teng Peter Ng,journals/jsac/Ng90,Article
213,Juan Pontes,journals/jsac/PontesRZ11,Article
214,Lars Reichardt,journals/jsac/PontesRZ11,Article
215,Thomas Zwick,journals/jsac/PontesRZ11,Article
216,Ramn M. Rodrguez-Dagnino,journals/jsac/Rodriguez-DagninoKL91,Article
217,Masoud R. K. Khansari,journals/jsac/Rodriguez-DagninoKL91,Article
218,Alberto Leon-Garcia,journals/jsac/Rodriguez-DagninoKL91,Article
219,Ian D. Marsland,journals/jsac/MarslandM98,Article
220,P. Takis Mathiopoulos,journals/jsac/MarslandM98,Article
221,Josu Kuri,journals/jsac/KuriPGDD03,Article
222,Nicolas Puech,journals/jsac/KuriPGDD03,Article
223,Maurice Gagnaire,journals/jsac/KuriPGDD03,Article
224,Emmanuel Dotaro,journals/jsac/KuriPGDD03,Article
225,Richard Douville,journals/jsac/KuriPGDD03,Article
226,Laura Galluccio,journals/jsac/GalluccioLMS05,Article
227,Francesco Licandro,journals/jsac/GalluccioLMS05,Article
228,Giacomo Morabito,journals/jsac/GalluccioLMS05,Article
229,Giovanni Schembra,journals/jsac/GalluccioLMS05,Article
230,Shyam L. Moondra,journals/jsac/Moondra89,Article
231,Neiyer S. Correal,journals/jsac/CorrealBW99,Article
232,R. Michael Buehrer,journals/jsac/CorrealBW99,Article
233,Brian D. Woerner,journals/jsac/CorrealBW99,Article
234,S. V. Raghavan,journals/jsac/RaghavanPT96,Article
235,B. Prabhakaran,journals/jsac/RaghavanPT96,Article
236,Satish K. Tripathi,journals/jsac/RaghavanPT96,Article
237,Kallol Das,journals/jsac/DasW12,Article
238,Henk Wymeersch,journals/jsac/DasW12,Article
239,Dhanant Subhadrabandhu,journals/jsac/SubhadrabandhuSA06,Article
240,Saswati Sarkar,journals/jsac/SubhadrabandhuSA06,Article
241,Farooq Anjum,journals/jsac/SubhadrabandhuSA06,Article
242,Yong Sheng Soh,journals/jsac/SohQKS13,Article
243,Tony Q. S. Quek,journals/jsac/SohQKS13,Article
244,Marios Kountouris,journals/jsac/SohQKS13,Article
245,Hyundong Shin,journals/jsac/SohQKS13,Article
246,Yoram Ofek,journals/jsac/OfekY97,Article
247,Bulent Yener,journals/jsac/OfekY97,Article
248,Farid Ashtiani,journals/jsac/AshtianiSA03,Article
249,Jawad A. Salehi,journals/jsac/AshtianiSA03,Article
250,Mohammad Reza Aref,journals/jsac/AshtianiSA03,Article
251,Klaus Wrner,journals/jsac/WornerC86,Article
252,Alex Colquhoun,journals/jsac/WornerC86,Article
253,Alan Barbieri,journals/jsac/BarbieriDJMWMSH12,Article
254,Aleksandar Damnjanovic,journals/jsac/BarbieriDJMWMSH12,Article
255,Tingfang Ji,journals/jsac/BarbieriDJMWMSH12,Article
256,Juan Montojo,journals/jsac/BarbieriDJMWMSH12,Article
257,Yongbin Wei,journals/jsac/BarbieriDJMWMSH12,Article
258,Durga Malladi,journals/jsac/BarbieriDJMWMSH12,Article
259,Osok Song,journals/jsac/BarbieriDJMWMSH12,Article
260,Gavin Horn,journals/jsac/BarbieriDJMWMSH12,Article
261,Ahmed H. Abdelmonem,journals/jsac/AbdelmonemS89,Article
262,Tarek N. Saadawi,journals/jsac/AbdelmonemS89,Article
263,Zhengye Liu,journals/jsac/LiuWLLW10,Article
264,Zhenyu Wu,journals/jsac/LiuWLLW10,Article
265,Pei Liu,journals/jsac/LiuWLLW10,Article
266,Hang Liu,journals/jsac/LiuWLLW10,Article
267,Yao Wang,journals/jsac/LiuWLLW10,Article
268,Karl J. Molnar,journals/jsac/MolnarB98,Article
269,Gregory E. Bottomley,journals/jsac/MolnarB98,Article
270,Nen-Fu Huang,journals/jsac/HuangC94,Article
271,Ko-Shung Chen,journals/jsac/HuangC94,Article
272,Byung Kim,journals/jsac/Kim83,Article
273,Antonio Nucci,journals/jsac/NucciSCLM04,Article
274,Brunilde Sans,journals/jsac/NucciSCLM04,Article
275,Teodor Gabriel Crainic,journals/jsac/NucciSCLM04,Article
276,Emilio Leonardi,journals/jsac/NucciSCLM04,Article
277,Marco Ajmone Marsan,journals/jsac/NucciSCLM04,Article
278,Matthew Roughan,journals/jsac/RoughanWMPB11,Article
279,Walter Willinger,journals/jsac/RoughanWMPB11,Article
280,Olaf Maennel,journals/jsac/RoughanWMPB11,Article
281,Debbie Perouli,journals/jsac/RoughanWMPB11,Article
282,Randy Bush,journals/jsac/RoughanWMPB11,Article
283,Sergio Herrera-Alonso,journals/jsac/Herreria-Alonso15,Article
284,Miguel Rodrguez-Prez,journals/jsac/Herreria-Alonso15,Article
285,Manuel Fernndez-Veiga,journals/jsac/Herreria-Alonso15,Article
286,Cndido Lpez-Garca,journals/jsac/Herreria-Alonso15,Article
287,Xiaojun Yuan,journals/jsac/YuanP09,Article
288,Li Ping,journals/jsac/YuanP09,Article
289,Didier Samfat,journals/jsac/SamfatM97,Article
290,Refik Molva,journals/jsac/SamfatM97,Article
291,Thomas Keller 0002,journals/jsac/KellerLH00,Article
292,Tong-Hooi Liew,journals/jsac/KellerLH00,Article
293,Lajos Hanzo,journals/jsac/KellerLH00,Article
294,Michael B. Pursley,journals/jsac/PursleyS99,Article
295,John M. Shea,journals/jsac/PursleyS99,Article
296,Yi Wang,journals/jsac/WangAR09,Article
297,Ioannis C. Avramopoulos,journals/jsac/WangAR09,Article
298,Jennifer Rexford,journals/jsac/WangAR09,Article
299,Massimiliano Martone,journals/jsac/Martone98,Article
300,Azzedine Boukerche,journals/jsac/BoukercheR09,Article
301,Yonglin Ren,journals/jsac/BoukercheR09,Article
302,Byoung-Hoon Kim,journals/jsac/KimL00,Article
303,Byeong Gi Lee,journals/jsac/KimL00,Article
304,Christopher J. Smyth,journals/jsac/Smyth88,Article
305,Yuanzhang Xiao,journals/jsac/XiaoS12,Article
306,Mihaela van der Schaar,journals/jsac/XiaoS12,Article
307,Leslie A. Rusch,journals/jsac/RuschP95,Article
308,H. Vincent Poor,journals/jsac/RuschP95,Article
309,John Haggerty,journals/jsac/HaggertySM05,Article
310,Qi Shi,journals/jsac/HaggertySM05,Article
311,Madjid Merabti,journals/jsac/HaggertySM05,Article
312,Johan Hokfelt,journals/jsac/HokfeltEM01,Article
313,Ove Edfors,journals/jsac/HokfeltEM01,Article
314,Torleiv Maseng,journals/jsac/HokfeltEM01,Article
315,Pooi Yuen Kam,journals/jsac/KamC92,Article
316,Hang Moh Ching,journals/jsac/KamC92,Article
317,Nick G. Duffield,journals/jsac/DuffieldHTWF02,Article
318,Joseph Horowitz,journals/jsac/DuffieldHTWF02,Article
319,Don Towsley,journals/jsac/DuffieldHTWF02,Article
320,Wei Wei,journals/jsac/DuffieldHTWF02,Article
321,Timur Friedman,journals/jsac/DuffieldHTWF02,Article
322,Markus Werner,journals/jsac/Werner97,Article
323,Shuzo Kato,journals/jsac/KatoMUEK90,Article
324,Masahiro Morikura,journals/jsac/KatoMUEK90,Article
325,Masahiro Umehira,journals/jsac/KatoMUEK90,Article
326,Kiyoshi Enomoto,journals/jsac/KatoMUEK90,Article
327,Shuji Kubota,journals/jsac/KatoMUEK90,Article
328,Stephen V. Hanly,journals/jsac/HanlyLW15,Article
329,Chunshan Liu,journals/jsac/HanlyLW15,Article
330,Philip Whiting,journals/jsac/HanlyLW15,Article
331,Paola Iovanna,journals/jsac/IovannaSSCV04,Article
332,Marina Settembre,journals/jsac/IovannaSSCV04,Article
333,Roberto Sabella,journals/jsac/IovannaSSCV04,Article
334,Giulia Conte,journals/jsac/IovannaSSCV04,Article
335,L. Valentini,journals/jsac/IovannaSSCV04,Article
336,Mihir Bellare,journals/jsac/BellareGHHKSTHW00,Article
337,Juan A. Garay,journals/jsac/BellareGHHKSTHW00,Article
338,Ralf C. Hauser,journals/jsac/BellareGHHKSTHW00,Article
339,Amir Herzberg,journals/jsac/BellareGHHKSTHW00,Article
340,Hugo Krawczyk,journals/jsac/BellareGHHKSTHW00,Article
341,Michael Steiner,journals/jsac/BellareGHHKSTHW00,Article
342,Gene Tsudik,journals/jsac/BellareGHHKSTHW00,Article
343,Els Van Herreweghen,journals/jsac/BellareGHHKSTHW00,Article
344,Michael Waidner,journals/jsac/BellareGHHKSTHW00,Article
345,Jospeh L. Katz,journals/jsac/KatzM88,Article
346,Bruce D. Metcalf,journals/jsac/KatzM88,Article
347,Juin-Hwey Chen,journals/jsac/ChenCLJM92,Article
348,Richard V. Cox,journals/jsac/ChenCLJM92,Article
349,Yen-Chun Lin,journals/jsac/ChenCLJM92,Article
350,Nikil Jayant,journals/jsac/ChenCLJM92,Article
351,Melvin J. Melchner,journals/jsac/ChenCLJM92,Article
352,N. Ikeda,journals/jsac/IkedaSTIA05,Article
353,Yoshimasa Sugimoto,journals/jsac/IkedaSTIA05,Article
354,Y. Tanaka,journals/jsac/IkedaSTIA05,Article
355,K. Inoue,journals/jsac/IkedaSTIA05,Article
356,Kiyoshi Asakawa,journals/jsac/IkedaSTIA05,Article
357,Damiano Carra,journals/jsac/CarraCB07,Article
358,Renato Lo Cigno,journals/jsac/CarraCB07,Article
359,Ernst W. Biersack,journals/jsac/CarraCB07,Article
360,Ezio Biglieri,journals/jsac/BiglieriGGL84,Article
361,Allen Gersho,journals/jsac/BiglieriGGL84,Article
362,Richard D. Gitlin,journals/jsac/BiglieriGGL84,Article
363,Tong Leong Lim,journals/jsac/BiglieriGGL84,Article
364,John J. Fratamico,journals/jsac/FratamicoBS83,Article
365,Philip L. Bogler,journals/jsac/FratamicoBS83,Article
366,Jeffrey H. Shapiro,journals/jsac/FratamicoBS83,Article
367,John E. Miller,journals/jsac/Miller85a,Article
368,Kuriacose Joseph,journals/jsac/JosephR88,Article
369,Dipankar Raychaudhuri,journals/jsac/JosephR88,Article
370,Qiang Liu,journals/jsac/LiuWC14,Article
371,Xin Wang,journals/jsac/LiuWC14,Article
372,Yong Cui,journals/jsac/LiuWC14,Article
373,Farhad Meshkati,journals/jsac/MeshkatiGPS07,Article
374,Andrea J. Goldsmith,journals/jsac/MeshkatiGPS07,Article
375,H. Vincent Poor,journals/jsac/MeshkatiGPS07,Article
376,Stuart C. Schwartz,journals/jsac/MeshkatiGPS07,Article
377,Mingxi Fan,journals/jsac/FanS02,Article
378,Kai-Yeung Siu,journals/jsac/FanS02,Article
379,Unnikrishnan S. Warrier,journals/jsac/WarrierS90,Article
380,Carl A. Sunshine,journals/jsac/WarrierS90,Article
381,Hao Xu,journals/jsac/XuRBS00,Article
382,Theodore S. Rappaport,journals/jsac/XuRBS00,Article
383,Robert J. Boyle,journals/jsac/XuRBS00,Article
384,James H. Schaffner,journals/jsac/XuRBS00,Article
385,Fabio Graziosi,journals/jsac/GraziosiS99,Article
386,Fortunato Santucci,journals/jsac/GraziosiS99,Article
387,H.-Y. Jeong,journals/jsac/JeongS05,Article
388,S.-W. Seo,journals/jsac/JeongS05,Article
389,Yixin Diao,journals/jsac/DiaoHPGKP05,Article
390,Joseph L. Hellerstein,journals/jsac/DiaoHPGKP05,Article
391,Sujay S. Parekh,journals/jsac/DiaoHPGKP05,Article
392,Rean Griffith,journals/jsac/DiaoHPGKP05,Article
393,Gail E. Kaiser,journals/jsac/DiaoHPGKP05,Article
394,Dan B. Phung,journals/jsac/DiaoHPGKP05,Article
395,Wing C. Kwong,journals/jsac/KwongY04,Article
396,Guu-chang Yang,journals/jsac/KwongY04,Article
397,H. van Roosmalen,journals/jsac/RoosmalenNP94,Article
398,J. A. M. Nijhof,journals/jsac/RoosmalenNP94,Article
399,Ramjee Prasad,journals/jsac/RoosmalenNP94,Article
400,Michel Nal,journals/jsac/Nael91,Article
401,Mehdi T. Harandi,journals/jsac/Harandi88,Article
402,William D. Richard,journals/jsac/RichardCEFGH95,Article
403,Jerome R. Cox Jr.,journals/jsac/RichardCEFGH95,Article
404,A. Maynard Engebretson,journals/jsac/RichardCEFGH95,Article
405,Jason Fritts,journals/jsac/RichardCEFGH95,Article
406,Brian L. Gottlieb,journals/jsac/RichardCEFGH95,Article
407,Craig Horn,journals/jsac/RichardCEFGH95,Article
408,Romano Fantacci,journals/jsac/FantacciN00a,Article
409,S. Nannicini,journals/jsac/FantacciN00a,Article
410,Jun Li 0001,journals/jsac/LiRP04,Article
411,Peter L. Reiher,journals/jsac/LiRP04,Article
412,Gerald J. Popek,journals/jsac/LiRP04,Article
413,Oliver T. W. Yu,journals/jsac/YuL97,Article
414,Victor C. M. Leung,journals/jsac/YuL97,Article
415,Nedo Celandroni,journals/jsac/CelandroniDFVZZ04,Article
416,Franco Davoli,journals/jsac/CelandroniDFVZZ04,Article
417,Erina Ferro,journals/jsac/CelandroniDFVZZ04,Article
418,Stefano Vignola,journals/jsac/CelandroniDFVZZ04,Article
419,Sandro Zappatore,journals/jsac/CelandroniDFVZZ04,Article
420,Andrea Zinicola,journals/jsac/CelandroniDFVZZ04,Article
421,Felipe A. Cruz-Prez,journals/jsac/Cruz-PerezVSO06,Article
422,Jos Luis Vzquez-Avila,journals/jsac/Cruz-PerezVSO06,Article
423,Arturo Seguin-Jimenez,journals/jsac/Cruz-PerezVSO06,Article
424,Lauro Ortigoza-Guerrero,journals/jsac/Cruz-PerezVSO06,Article
425,Tallal Elshabrawy,journals/jsac/ElshabrawyL06,Article
426,Tho Le-Ngoc,journals/jsac/ElshabrawyL06,Article
427,Keiichi Kambara,journals/jsac/KambaraNNOO08,Article
428,Hiroshi Nishimoto,journals/jsac/KambaraNNOO08,Article
429,Toshihiko Nishimura,journals/jsac/KambaraNNOO08,Article
430,Takeo Ohgane,journals/jsac/KambaraNNOO08,Article
431,Yasutaka Ogawa,journals/jsac/KambaraNNOO08,Article
432,Akio Sugita,journals/jsac/SugitaJTK90,Article
433,Kaname Jinguji,journals/jsac/SugitaJTK90,Article
434,Norio Takato,journals/jsac/SugitaJTK90,Article
435,Masao Kawachi,journals/jsac/SugitaJTK90,Article
436,Huan Zhou,journals/jsac/ZhouCFDD13,Article
437,Jiming Chen,journals/jsac/ZhouCFDD13,Article
438,Jialu Fan,journals/jsac/ZhouCFDD13,Article
439,Yuan Du,journals/jsac/ZhouCFDD13,Article
440,Sajal K. Das,journals/jsac/ZhouCFDD13,Article
441,Rafael P. Torres Jimnez,journals/jsac/TorresLVD01,Article
442,Susana Loredo,journals/jsac/TorresLVD01,Article
443,Luis Valle,journals/jsac/TorresLVD01,Article
444,Marta Domingo,journals/jsac/TorresLVD01,Article
445,Gi-Hong Im,journals/jsac/ImHHMNW95,Article
446,Dale D. Harman,journals/jsac/ImHHMNW95,Article
447,Gang Huang,journals/jsac/ImHHMNW95,Article
448,A. V. Mandzik,journals/jsac/ImHHMNW95,Article
449,Mai-Huong Nguyen,journals/jsac/ImHHMNW95,Article
450,Jean-Jacques Werner,journals/jsac/ImHHMNW95,Article
